HORA,CPU,RAM
11:10:10,0.8,2.7
,0.2,2.7
11:10:24,0.0,2.7
,1.0,2.7
11:10:38,0.5,2.7
,2.8,2.8
11:10:53,5.5,4.1
,23.5,11.6
11:11:07,8.0,11.6
,0.2,11.3
11:11:22,0.0,11.3
,0.2,11.3
11:11:36,0.0,11.4
,2.7,11.4
11:11:50,51.2,8.4
,51.2,8.4
11:12:05,51.5,8.4
,51.2,8.4
11:12:19,50.8,8.5
,4.5,9.2
11:12:33,4.2,8.8
,31.1,8.4
11:12:48,51.5,8.5
,2.8,9.0
11:13:02,12.7,9.3
,97.0,8.9
11:13:17,34.2,8.4
,4.0,8.4
11:13:31,51.2,8.3
,51.5,8.4
11:13:45,51.2,8.6
,15.9,9.9
11:14:00,89.8,10.2
,7.2,8.7
11:14:14,9.5,9.1
,51.5,8.6
11:14:28,51.8,8.8
,51.0,8.9
11:14:43,51.5,9.1
,51.0,9.1
11:14:57,50.7,9.3
,2.2,9.8
11:15:12,5.2,8.4
,60.2,10.1
11:15:26,2.5,8.9
,3.0,8.9
11:15:40,3.0,9.0
,7.2,9.1
11:15:55,51.2,9.4
,50.7,9.5
11:16:09,2.5,9.3
,3.8,7.9
11:16:23,1.8,8.1
,0.0,7.9
11:16:38,0.0,7.4
,0.0,7.4
11:16:52,0.0,7.4
,0.0,7.4
11:17:07,0.0,7.4
,1.1,2.8
11:17:21,1.0,2.8
,1.0,2.8
11:17:36,0.2,2.8
,0.0,2.8
11:17:48,0.0,2.8